分類,商品標籤,商品名稱,描述,價格
廣播系統,00B027-PA-880 / 名稱：PA-880,PA-880 腰掛式有線擴音機,"['', '', '']",價格須至店內詢問
廣播系統,00B027-PA-900 / 名稱：PA-900,PA-900 充電式手提有線/無線擴音機,"['', '', '']",價格須至店內詢問
廣播系統,00B027-PA-950L / 名稱：PA-950L,PA-950L 數位擴音機,"['', '', '']",價格須至店內詢問
廣播系統,00B027-SV-100 / 名稱：SV-100,SV-100 SHURE高級動圈式麥克風,"['', '', '']",價格須至店內詢問
廣播系統,00F015-CM-800 / 名稱：CM-800,CM-800 廣播前奏音樂麥克風,"['鋁製外殼', '', '']",價格須至店內詢問
廣播系統,00F015-CS-212 / 名稱：CS-212,CS-212 音柱型公共廣播喇叭,"['', '', '']",價格須至店內詢問
廣播系統,00F015-CS-30A / 名稱：CS-30A,CS-30A 寬頻域投射式喇叭,"['', '', '']",價格須至店內詢問
廣播系統,00F015-CS-30R / 名稱：CS-30R,CS-30R 寬頻域投射式喇叭,"['', '', '']",價格須至店內詢問
廣播系統,00F015-CSL-410 / 名稱：CSL-410,CSL-410 崁頂式喇叭,"['防潮型', '', '']",價格須至店內詢問
廣播系統,00F015-CSL-6112 / 名稱：CSL-6112,CSL-6112 崁頂式喇叭,"['', '', '']",價格須至店內詢問
廣播系統,00F015-CSL-810T / 名稱：CSL-810T,CSL-810T 崁頂式喇叭,"['', '', '']",價格須至店內詢問
廣播系統,00F015-CSP-220 / 名稱：CSP-220,CSP-220 寬頻域投射式喇叭-單向,"['', '', '']",價格須至店內詢問
廣播系統,00F015-CSP-220D / 名稱：CSP-220D,CSP-220D 寬頻域投射式喇叭-雙向,"['', '', '']",價格須至店內詢問
廣播系統,00F015-DIA-100 / 名稱：DIA-100,DIA-100 成音膜(TU-100用),"['', '', '']",價格須至店內詢問
廣播系統,00F015-DIA-120 / 名稱：DIA-120,DIA-120 成音膜(TU-120用),"['', '', '']",價格須至店內詢問
廣播系統,00F015-DIA-150 / 名稱：DIA-150,DIA-150 成音膜(TU-150用),"['', '', '']",價格須至店內詢問
廣播系統,00F015-DIA-35 / 名稱：DIA-35,DIA-35 成音膜(SC-25P/SC-35A用),"['', '', '']",價格須至店內詢問
廣播系統,00F015-DIA-60 / 名稱：DIA-60,DIA-60 成音膜(TU-35/TU-60/TU-75用),"['', '', '']",價格須至店內詢問
廣播系統,00F015-ER-226 / 名稱：ER-226,ER-226 手握式喊話器,"['', '', '']",價格須至店內詢問
廣播系統,00F015-ER-56 / 名稱：ER-56,ER-56 肩帶式喊話器(可立式),"['', '', '']",價格須至店內詢問
廣播系統,00F015-ER-66S / 名稱：ER-66S,ER-66S 肩帶式喊話器(可手握+錄音),"['具警報聲功能', '', '']",價格須至店內詢問
廣播系統,00F015-ER-66SDR / 名稱：ER-66SDR,ER-66SDR 肩帶式喊話器(可手握+錄音),"['具有警報聲錄音(60秒)功能', '可使用外部電源(12V電池、直流DC10~13.8V)', '']",價格須至店內詢問
廣播系統,00F015-ER-66W / 名稱：ER-66W,ER-66W 肩帶式喊話器(可手握+錄音),"['具哨聲功能', '', '']",價格須至店內詢問
廣播系統,00F015-ER-67 / 名稱：ER-67,ER-67 大功率喊話器(肩帶+手提式),"['', '', '']",價格須至店內詢問
廣播系統,00F015-ER-68S / 名稱：ER-68S,ER-68S 大功率喊話器(肩帶式),"['具警報聲功能', '', '']",價格須至店內詢問
廣播系統,00F015-ER-68W / 名稱：ER-68W,ER-68W 大功率喊話器(肩帶式),"['具哨聲功能', '', '']",價格須至店內詢問
廣播系統,00F015-ERV-68S / 名稱：ERV-68S,ERV-68S 大功率無線喊話器,"['具警報聲功能', '', '']",價格須至店內詢問
廣播系統,00F015-ERV-68W / 名稱：ERV-68W,ERV-68W 大功率無線喊話器,"['具哨聲功能', '', '']",價格須至店內詢問
廣播系統,00F015-F-8 / 名稱：F-8,F-8 腳架,"['搭配大功率/無線喊話器使用', '', '']",價格須至店內詢問
廣播系統,00F015-HM-12 / 名稱：HM-12,HM-12 頭戴式麥克風,"['', '', '']",價格須至店內詢問
廣播系統,00F015-HM-28 / 名稱：HM-28,HM-28 頭戴式麥克風,"['', '', '']",價格須至店內詢問
廣播系統,00F015-HM-38 / 名稱：HM-38,HM-38 頭戴式麥克風,"['', '', '']",價格須至店內詢問
廣播系統,00F015-LM-10 / 名稱：LM-10,LM-10 領夾式麥克風,"['', '', '']",價格須至店內詢問
廣播系統,00F015-LM-10L / 名稱：LM-10L,LM-10L 領夾式麥克風,"['', '', '']",價格須至店內詢問
廣播系統,00F015-LM-60 / 名稱：LM-60,LM-60 領夾式麥克風,"['', '', '']",價格須至店內詢問
廣播系統,00F015-MT-35 / 名稱：MT-35,MT-35 含變壓器喇叭頭,"['', '', '']",價格須至店內詢問
廣播系統,00F015-MT-60 / 名稱：MT-60,MT-60 含變壓器喇叭頭,"['', '', '']",價格須至店內詢問
廣播系統,00F015-OPT-75100 / 名稱：OPT-75100,OPT-75100 100W防水變壓器,"['', '', '']",價格須至店內詢問
廣播系統,00F015-OPT-7535 / 名稱：OPT-7535,OPT-7535 35W防水變壓器,"['', '', '']",價格須至店內詢問
廣播系統,00F015-OPT-7575 / 名稱：OPT-7575,OPT-7575 75W防水變壓器,"['', '', '']",價格須至店內詢問
廣播系統,00F015-SA-880M / 名稱：SA-880M,SA-880M 專業公共廣播擴音機,"['', '', '']",價格須至店內詢問
廣播系統,00F015-SA-880R / 名稱：SA-880R,SA-880R 專業公共廣播擴音機,"['支援USB/SD卡/MP3錄放音', '', '']",價格須至店內詢問
廣播系統,00F015-SC-25P / 名稱：SC-25P,SC-25P 高功率防水喇叭(25W),"['', '', '']",價格須至店內詢問
廣播系統,00F015-SC-30AH / 名稱：SC-30AH,SC-30AH 含變壓器防水型號角喇叭,"['', '', '']",價格須至店內詢問
廣播系統,00F015-SC-35A / 名稱：SC-35A,SC-35A 高功率防水喇叭(35W),"['', '', '']",價格須至店內詢問
廣播系統,00F015-TA-450AR / 名稱：TA-450AR,TA-450AR 專業公共廣播擴音機,"['內置自動迴帶卡式座', '', '']",價格須至店內詢問
廣播系統,00F015-TA-450M / 名稱：TA-450M,TA-450M 專業公共廣播擴音機,"['', '', '']",價格須至店內詢問
廣播系統,00F015-TA-450R / 名稱：TA-450R,TA-450R 專業公共廣播擴音機,"['支援USB/SD卡/MP3錄放音', '', '']",價格須至店內詢問
廣播系統,00F015-TC-15AH / 名稱：TC-15AH,TC-15AH 含變壓器防水型號角喇叭,"['', '', '']",價格須至店內詢問
廣播系統,00F015-TC-30AH / 名稱：TC-30AH,TC-30AH 含變壓器防水型號角喇叭,"['', '', '']",價格須至店內詢問
廣播系統,00F015-TH-12 / 名稱：TH-12,"TH-12 12""號角型喇叭筒","['防水型', '', '']",價格須至店內詢問
廣播系統,00F015-TH-16 / 名稱：TH-16,"TH-16 16""號角型喇叭筒","['防水型', '', '']",價格須至店內詢問
廣播系統,00F015-TH-20 / 名稱：TH-20,"TH-20 20""號角型喇叭筒","['防水型', '', '']",價格須至店內詢問
廣播系統,00F015-TH-4A4 / 名稱：TH-4A4,TH-4A4 號角型喇叭筒,"['鋁材質-防水型', '', '']",價格須至店內詢問
廣播系統,00F015-TPA-120 / 名稱：TPA-120,TPA-120 模組式擴音機,"['TPA-120M / R / CD / T / CDR / CDT', '', '']",價格須至店內詢問
廣播系統,00F015-TPA-240 / 名稱：TPA-240,TPA-240 模組式擴音機,"['TPA-240M / R / CD / T / CDR / CDT', '', '']",價格須至店內詢問
廣播系統,00F015-TPA-60 / 名稱：TPA-60,TPA-60 模組式擴音機,"['TPA-60M / R / CD / T / CDR / CDT', '', '']",價格須至店內詢問
廣播系統,00F015-TU-100 / 名稱：TU-100,TU-100 100W防水型喇叭頭,"['', '', '']",價格須至店內詢問
廣播系統,00F015-TU-150 / 名稱：TU-150,TU-150 100W防水型喇叭頭,"['', '', '']",價格須至店內詢問
廣播系統,00F015-TU-35 / 名稱：TU-35,TU-35 35W防水型喇叭頭,"['', '', '']",價格須至店內詢問
廣播系統,00F015-TU-60 / 名稱：TU-60,TU-60 60W防水型喇叭頭,"['', '', '']",價格須至店內詢問
廣播系統,00F015-TU-75 / 名稱：TU-75,TU-75 75W防水型喇叭頭,"['', '', '']",價格須至店內詢問
廣播系統,00F015-UL-81DR / 名稱：UL-81DR,UL-81DR 無線UHF接收機(單頻雙調諧),"['', '', '']",價格須至店內詢問
廣播系統,00F015-UL-83H / 名稱：UL-83H,UL-83H UHF手握式麥克風(動圈式),"['', '', '']",價格須至店內詢問
廣播系統,00F015-VT-26PT / 名稱：VT-26PT,VT-26PT VHF無線發射機,"['', '', '']",價格須至店內詢問
廣播系統,00F015-VX-288RTII / 名稱：VX-288RT MKII,VX-288RT MKII 無線VHF接收機(雙頻單調諧),"['', '', '']",價格須至店內詢問
廣播系統,00F015-VXM-298TS / 名稱：VXM-298TS,VXM-298TS VHF手握麥克風(動圈式),"['', '', '']",價格須至店內詢問
廣播系統,00F015-WA-320 / 名稱：WA-320,WA-320 手提無線教學擴音機,"['', '', '']",價格須至店內詢問
廣播系統,00F015-WAP-5C / 名稱：WAP-5C,WAP-5C 腰掛式擴音機,"['', '', '']",525 元
廣播系統,00F015-WDA-282DR / 名稱：WDA-282DR,WDA-282DR 攜帶式無線VHF擴音機,"['內置USB/SD', '', '']",價格須至店內詢問
廣播系統,00F015-WR-101R / 名稱：WR-101R,WR-101R 無線VHF接收機(單頻單調諧),"['', '', '']",價格須至店內詢問
廣播系統,00F015-WR-202RT / 名稱：WR-202RT,WR-202RT 無線VHF接收機(雙頻單調諧),"['', '', '']",價格須至店內詢問
廣播系統,00F015-WT-201T / 名稱：WT-201T,WT-201T VHF手握式無線麥克風(動圈式),"['', '', '']",價格須至店內詢問
廣播系統,00F015-WT-203PT / 名稱：WT-203PT,WT-203PT VHF無線發射機,"['', '', '']",價格須至店內詢問
廣播系統,00F015-WT-205PT / 名稱：WT-205PT,WT-205PT VHF無線發射機,"['', '', '']",價格須至店內詢問
廣播系統,00F015-WT-212CT / 名稱：WT-212CT,WT-212CT VHF手握式麥克風(電容式),"['', '', '']",價格須至店內詢問
廣播系統,00F036-B-1 / 名稱：B-1,B-1 喇叭吊架,"['適用於一般小型喇叭，長12cm負重約8kg', '', '']",價格須至店內詢問
廣播系統,00F036-B-1W / 名稱：B-1W,B-1W 喇叭吊架,"['適用於一般小型喇叭，長12cm負重約8kg', '', '']",價格須至店內詢問
廣播系統,00F036-C1001 / 名稱：C1001,C1001,"['', '', '']",價格須至店內詢問
廣播系統,00F036-C1201 / 名稱：C1201,C1201,"['', '', '']",價格須至店內詢問
廣播系統,00F036-C1501 / 名稱：C1501,C1501,"['', '', '']",價格須至店內詢問
廣播系統,00F036-C8001 / 名稱：C8001,C8001,"['', '', '']",價格須至店內詢問
廣播系統,00F036-CL-555 / 名稱：CL-555,CL-555 麥克風分配器,"['1變2', '', '']",價格須至店內詢問
廣播系統,00F036-CM-521 / 名稱：CM-521,CM-521 廣播前後奏麥克風,"['', '', '']",價格須至店內詢問
廣播系統,00F036-CM-526 / 名稱：CM-526,CM-526 桌上型會議麥克風,"['', '', '']",價格須至店內詢問
廣播系統,00F036-DL-10 / 名稱：DL-10,DL-10,"['', '', '']",價格須至店內詢問
廣播系統,00F036-DM-436 / 名稱：DM-436,DM-436 教學專用麥克風,"['', '', '']",價格須至店內詢問
廣播系統,00F036-DM-536 / 名稱：DM-536,DM-536 教學專用麥克風,"['', '', '']",價格須至店內詢問
廣播系統,00F036-DM-567P / 名稱：DM-567P,DM-567P 廣播專用麥克風,"['內建匹配變壓器', '', '']",價格須至店內詢問
廣播系統,00F036-DU-101FH / 名稱：DU-101FH,DU-101FH 消防、救護車專用喇叭頭,"['消防、救護車專用喇叭頭', '', '']",價格須至店內詢問
廣播系統,00F036-DU-50TF / 名稱：DU-50TF,DU-50TF 廣播專用喇叭頭,"['內建功率可調匹配變壓器', '', '']",價格須至店內詢問
廣播系統,00F036-DU-80TF / 名稱：DU-80TF,DU-80TF 廣播專用喇叭頭,"['內建功率可調匹配變壓器', '', '']",價格須至店內詢問
廣播系統,00F036-EM-306 / 名稱：EM-306,EM-306 電容式麥克風,"['', '', '']",價格須至店內詢問
廣播系統,00F036-G-1 / 名稱：G-1,G-1 麥克風夾,"['直徑 1.5cm', '', '']",價格須至店內詢問
廣播系統,00F036-G-3 / 名稱：G-3,G-3 麥克風夾,"['直徑 1.5cm', '', '']",價格須至店內詢問
廣播系統,00F036-G-5 / 名稱：G-5,G-5 麥克風夾,"['直徑 1.5cm', '無線麥克風專用', '']",價格須至店內詢問
廣播系統,00F036-H-12 / 名稱：H-12,H-12,"['', '', '']",價格須至店內詢問
廣播系統,00F036-H-16 / 名稱：H-16,H-16,"['', '', '']",價格須至店內詢問
廣播系統,00F036-H-20 / 名稱：H-20,H-20,"['', '', '']",價格須至店內詢問
廣播系統,00F036-HAT-100100 / 名稱：HAT-100100,HAT-100100 音量衰減器,"['', '', '']",價格須至店內詢問
廣播系統,00F036-HAT-10100 / 名稱：HAT-10100,HAT-10100 音量衰減器,"['', '', '']",價格須至店內詢問
廣播系統,00F036-HAT-20100 / 名稱：HAT-20100,HAT-20100 音量衰減器,"['', '', '']",價格須至店內詢問
廣播系統,00F036-HAT-40100 / 名稱：HAT-40100,HAT-40100 音量衰減器,"['', '', '']",價格須至店內詢問
廣播系統,00F036-HC-1050TF / 名稱：HC-1050TF,HC-1050TF,"['10"" (內建功率可調匹配變壓器)', '', '']",價格須至店內詢問
廣播系統,00F036-HC-194FT / 名稱：HC-194FT,HC-194FT,"['19"" 內建PU-75F×3/TW-4401×1(超高音)', '', '']",價格須至店內詢問
廣播系統,00F036-HC-20A / 名稱：HC-20A,HC-20A,"['', '', '']",價格須至店內詢問
廣播系統,00F036-HC-20F / 名稱：HC-20F,HC-20F,"['', '', '']",價格須至店內詢問
廣播系統,00F036-HC-30A / 名稱：HC-30A,HC-30A,"['', '', '']",價格須至店內詢問
廣播系統,00F036-HC-40A / 名稱：HC-40A,HC-40A,"['', '', '']",價格須至店內詢問
廣播系統,00F036-HC-40F / 名稱：HC-40F,HC-40F,"['', '', '']",價格須至店內詢問
廣播系統,00F036-HC-50A / 名稱：HC-50A,HC-50A,"['', '', '']",價格須至店內詢問
廣播系統,00F036-HC-840TF / 名稱：HC-840TF,HC-840TF,"['8"" (內建功率可調匹配變壓器)', '', '']",價格須至店內詢問
廣播系統,00F036-HP-S310 / 名稱：HP-S310,"HP-S310 10"" 懸吊式喇叭","['', '', '']",價格須至店內詢問
廣播系統,00F036-HR-1640F / 名稱：HR-1640F,HR-1640F,"['16""(內建功率可調匹配變壓器)', '', '']",價格須至店內詢問
廣播系統,00F036-HS-42L325 / 名稱：HS-42L + HS-325,HS-42L + HS-325 桌上型 會議列席機(並聯式),"['', '', '']",價格須至店內詢問
廣播系統,00F036-HS-475 / 名稱：HS-475,HS-475 桌上型 會議列席機(串聯式),"['具備發言鍵及發言指示燈', '', '']",價格須至店內詢問
廣播系統,00F036-HS-485 / 名稱：HS-485,HS-485 桌上型 會議主席機(串聯式,"['', '', '']",價格須至店內詢問
廣播系統,00F036-HS-62L_362 / 名稱：HS-62L + HS-362,HS-62L + HS-362 桌上型 會議列席機(並聯式),"['', '', '']",價格須至店內詢問
廣播系統,00F036-HS-75_375 / 名稱：HS-75L + HS-375,HS-75L + HS-375 桌上型 會議列席機(串聯式),"['具備發言鍵及發言指示燈', '', '']",價格須至店內詢問
廣播系統,00F036-HS-75_385 / 名稱：HS-75L + HS-385,HS-75L + HS-385 桌上型 會議主席主控機(串聯式),"['', '', '']",價格須至店內詢問
廣播系統,00F036-HU-7116 / 名稱：HU-7116,HU-7116(2 CH/PLL-16) 雙頻無線麥克風,"['', '', '']",價格須至店內詢問
廣播系統,00F036-HU-8102 / 名稱：HU-8102,HU-8102(2 CH 定頻) 雙頻無線麥克風,"['', '', '']",價格須至店內詢問
廣播系統,00F036-HU-8116 / 名稱：HU-8116,HU-8116(2 CH PLL-16) 雙頻無線麥克風,"['', '', '']",價格須至店內詢問
廣播系統,00F036-HU-8193t / 名稱：HU-8193t,HU-8193t(1 CH PLL-16) 單頻無線發射機,"['【可與HU-8116雙頻主機或HU-8161單頻主機搭配使用】', '', '']",價格須至店內詢問
廣播系統,00F036-HV-233IV / 名稱：HV-233IV,HV-233IV 4CH 4頻無線麥克風,"['', '', '']",價格須至店內詢問
廣播系統,00F036-JF-05 / 名稱：JF-05,JF-05,"['', '', '']",價格須至店內詢問
廣播系統,00F036-JF-08 / 名稱：JF-08,JF-08,"['', '', '']",價格須至店內詢問
廣播系統,00F036-KM-2068 / 名稱：KM-2068,KM-2068 教學、歌唱兩用麥克風,"['', '', '']",價格須至店內詢問
廣播系統,00F036-LOT-10W / 名稱：LOT-10W,LOT-10W 中間匹配變壓器,"['', '', '']",價格須至店內詢問
廣播系統,00F036-LOT-10WF / 名稱：LOT-10WF,LOT-10WF 中間匹配變壓器 (防水+鐵蓋),"['室內用防水型', '', '']",價格須至店內詢問
廣播系統,00F036-LOT-120WF / 名稱：LOT-75WF,LOT-120WF 中間匹配變壓器,"['', '', '']",價格須至店內詢問
廣播系統,00F036-LOT-15W / 名稱：LOT-15W,LOT-15W 中間匹配變壓器,"['', '', '']",價格須至店內詢問
廣播系統,00F036-LOT-35W / 名稱：LOT-35W,LOT-35W 中間匹配變壓器,"['', '', '']",價格須至店內詢問
廣播系統,00F036-LOT-35WF / 名稱：LOT-35WF,LOT-35WF 中間匹配變壓器,"['', '', '']",價格須至店內詢問
廣播系統,00F036-LOT-5W / 名稱：LOT-5W,LOT-5W 中間匹配變壓器,"['', '', '']",價格須至店內詢問
廣播系統,00F036-LOT-60WF / 名稱：LOT-60WF,LOT-60WF 中間匹配變壓器,"['', '', '']",價格須至店內詢問
廣播系統,00F036-LOT-75WF / 名稱：LOT-75WF,LOT-75WF 中間匹配變壓器,"['', '', '']",價格須至店內詢問
廣播系統,00F036-M-6K / 名稱：M-6K,M-6K 麥克風防滾套,"['內徑：3.3cm', '外徑：6.2cm', '']",價格須至店內詢問
廣播系統,00F036-MC-556 / 名稱：MC-556,MC-556 專業桌上型 會議麥克風,"['', '', '']",價格須至店內詢問
廣播系統,00F036-MC-731 / 名稱：MC-731,MC-731 廣播前後奏麥克風,"['', '', '']",價格須至店內詢問
電子套件,00B023-BOMLKT706K / 名稱：BOMLTKT706K,BOMLTKT706K 套件降壓式電源供應器 KT-706,"['', '', '']",價格須至店內詢問
電子套件,00B023-BOMLTBE02 / 名稱：BOMLTBE02,BOMLTBE02 儀表電子乙級-數位直流電壓表零件包(全),"['', '', '']",價格須至店內詢問
電子套件,00B023-BOMLTBG01 / 名稱：BOMLTBG01,BOMLTBG01 電腦硬體裝修乙級偵錯卡(零件包+PCB+IC),"['', '', '']",價格須至店內詢問
電子套件,00B023-BOMLTBG03 / 名稱：BOMLTBG03,BOMLTBG03 電腦硬體裝修乙級偵錯卡(IC包),"['', '', '']",價格須至店內詢問
電子套件,00B023-BOMLTBG04 / 名稱：BOMLTBG04,BOMLTBG04 電腦硬體裝修乙級偵錯卡(零件包),"['', '', '']",價格須至店內詢問
電子套件,00B023-BOMLTBG06 / 名稱：BOMLTBG06,BOMLTBG06 電腦硬體裝修乙級檢修卡成品+POWER+CASE,"['', '', '']",價格須至店內詢問
電子套件,00B023-BOMLTBG6 / 名稱：BOMLTBG6,BOMLTBG6 新乙級檢修卡成品板+鋁板,"['', '', '']",價格須至店內詢問
電子套件,00B023-BOMLTCA2 / 名稱：BOMLTCA2,BOMLTCA2 新丙級-全套(二合一)FRP板,"['', '', '']",價格須至店內詢問
電子套件,00B023-BOMLTCB01 / 名稱：BOMLTCB01,BOMLTCB01 儀表操作與量測零件包含PCB板,"['', '', '']",價格須至店內詢問
